TimeOfDay DayOfWeek Weather EnergyLevel DrinkCoffee
Morning Monday Sunny Low Yes
Afternoon Monday Cloudy Medium No
Evening Monday Rainy High No
Morning Tuesday Rainy Low Yes
Afternoon Tuesday Sunny High No
Evening Tuesday Cloudy Medium Yes
Morning Wednesday Sunny High Yes
Afternoon Wednesday Rainy Low Yes
Evening Wednesday Cloudy Medium No
Morning Thursday Cloudy Low Yes
Afternoon Thursday Sunny High No
Evening Thursday Rainy Medium Yes
Morning Friday Rainy Low Yes
Afternoon Friday Cloudy Medium Yes
Evening Friday Sunny High No
Morning Saturday Sunny High Yes
Afternoon Saturday Rainy Low Yes
Evening Saturday Cloudy Medium No
Morning Sunday Cloudy Medium Yes
Afternoon Sunday Sunny Low No
Evening Sunday Rainy High Yes
